try_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,backbone_ok,reason
120,2.25,0.07,0.030000000000000002,0.06,0.02,0.45,0.2925,0.1182737718612537,0.3769144758882736,0.722576579035531,FALSE,omega_outside_target_band
121,2.25,0.07,0.035,0.03,0.02,0.25,0.225,0.17013780514234028,-2.2544294510037948,0.6960949692148672,FALSE,d_star_negative
122,2.25,0.07,0.035,0.03,0.02,0.35,0.225,0.11648987472787026,-0.5300316876815436,0.7564488909311459,FALSE,d_star_negative|omega_outside_target_band
123,2.25,0.07,0.035,0.03,0.02,0.45,0.225,0.09689698589779962,0.09973973899929814,0.7784908908649755,FALSE,omega_outside_target_band
124,2.25,0.07,0.035,0.04,0.02,0.25,0.24750000000000003,0.25036198355056183,-4.5116351855537715,0.594592768505618,FALSE,d_star_negative|omega_outside_target_band
125,2.25,0.07,0.035,0.04,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.5328079712277242,0.7338517210070296,FALSE,d_star_negative|omega_outside_target_band
126,2.25,0.07,0.035,0.04,0.02,0.45,0.24750000000000003,0.10388034506148039,0.19670319445241652,0.7593846118058346,FALSE,omega_outside_target_band
127,2.25,0.07,0.035,0.05,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
128,2.25,0.07,0.035,0.05,0.02,0.35,0.27,0.13798114277294551,-0.5779653034161059,0.7097712143804363,FALSE,d_star_negative|omega_outside_target_band
129,2.25,0.07,0.035,0.05,0.02,0.45,0.27,0.11095013556573455,0.29088849967281843,0.7401810974885485,FALSE,omega_outside_target_band
130,2.25,0.07,0.035,0.06,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
131,2.25,0.07,0.035,0.06,0.02,0.35,0.2925,0.1518617888766665,-0.7027003567499943,0.6829054875137504,FALSE,d_star_negative
132,2.25,0.07,0.035,0.06,0.02,0.45,0.2925,0.1182737718612537,0.3769144758882736,0.7206920066560896,FALSE,omega_outside_target_band
133,2.25,0.07,0.04,0.03,0.02,0.25,0.225,0.17013780514234028,-2.2544294510037948,0.707367116469886,FALSE,d_star_negative|omega_outside_target_band
134,2.25,0.07,0.04,0.03,0.02,0.35,0.225,0.11648987472787026,-0.5300316876815436,0.7590990493695536,FALSE,d_star_negative|omega_outside_target_band
135,2.25,0.07,0.04,0.03,0.02,0.45,0.225,0.09689698589779962,0.09973973899929814,0.7779921921699788,FALSE,omega_outside_target_band
136,2.25,0.07,0.04,0.04,0.02,0.25,0.24750000000000003,0.25036198355056183,-4.5116351855537715,0.6171509444333867,FALSE,d_star_negative|omega_outside_target_band
137,2.25,0.07,0.04,0.04,0.02,0.35,0.24750000000000003,0.12657624799375145,-0.5328079712277242,0.7365157608631682,FALSE,d_star_negative|omega_outside_target_band
138,2.25,0.07,0.04,0.04,0.02,0.45,0.24750000000000003,0.10388034506148039,0.19670319445241652,0.7584010958335725,FALSE,omega_outside_target_band
139,2.25,0.07,0.04,0.05,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
140,2.25,0.07,0.04,0.05,0.02,0.35,0.27,0.13798114277294551,-0.5779653034161059,0.7126610408975168,FALSE,d_star_negative|omega_outside_target_band
141,2.25,0.07,0.04,0.05,0.02,0.45,0.27,0.11095013556573455,0.29088849967281843,0.7387266549901845,FALSE,omega_outside_target_band
142,2.25,0.07,0.04,0.06,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
143,2.25,0.07,0.04,0.06,0.02,0.35,0.2925,0.1518617888766665,-0.7027003567499943,0.6864189892975003,FALSE,d_star_negative
144,2.25,0.07,0.04,0.06,0.02,0.45,0.2925,0.1182737718612537,0.3769144758882736,0.7188074342766482,FALSE,omega_outside_target_band
145,2.25,0.08,0.025,0.03,0.02,0.25,0.2475,0.2503619835505615,-3.9476807873595425,0.5353775566952252,FALSE,d_star_negative|omega_outside_target_band
146,2.25,0.08,0.025,0.03,0.02,0.35,0.2475,0.12657624799375142,-0.4662069748242584,0.7268586163846658,FALSE,d_star_negative|omega_outside_target_band
147,2.25,0.08,0.025,0.03,0.02,0.45,0.2475,0.10388034506148039,0.1721152951458641,0.7619663412330225,FALSE,omega_outside_target_band
148,2.25,0.08,0.025,0.04,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
149,2.25,0.08,0.025,0.04,0.02,0.35,0.27,0.13798114277294551,-0.5057196404890926,0.7021854197730998,FALSE,d_star_negative|omega_outside_target_band
150,2.25,0.08,0.025,0.04,0.02,0.45,0.27,0.11095013556573455,0.2545274372137161,0.7439990090467543,FALSE,omega_outside_target_band
151,2.25,0.08,0.025,0.05,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
152,2.25,0.08,0.025,0.05,0.02,0.35,0.2925,0.1518617888766665,-0.614862812156245,0.6736825453314066,FALSE,d_star_negative
153,2.25,0.08,0.025,0.05,0.02,0.45,0.2925,0.1182737718612537,0.3298001664022394,0.7256390091521232,FALSE,omega_outside_target_band
154,2.25,0.08,0.025,0.06,0.02,0.25,0.31500000000000006,NA,NA,NA,FALSE,kappa_star_out_of_bounds
155,2.25,0.08,0.025,0.06,0.02,0.35,0.31500000000000006,0.17105424316168027,-0.8734005889222574,0.6369629676092757,FALSE,d_star_negative
156,2.25,0.08,0.025,0.06,0.02,0.45,0.31500000000000006,0.12605668593004637,0.3921557082174468,0.7065685639519595,FALSE,omega_outside_target_band
157,2.25,0.08,0.030000000000000002,0.03,0.02,0.25,0.2475,0.2503619835505615,-3.9476807873595425,0.5551159606320228,FALSE,d_star_negative|omega_outside_target_band
158,2.25,0.08,0.030000000000000002,0.03,0.02,0.35,0.2475,0.12657624799375142,-0.4662069748242584,0.7291896512587872,FALSE,d_star_negative|omega_outside_target_band
159,2.25,0.08,0.030000000000000002,0.03,0.02,0.45,0.2475,0.10388034506148039,0.1721152951458641,0.7611057647572932,FALSE,omega_outside_target_band
160,2.25,0.08,0.030000000000000002,0.04,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
161,2.25,0.08,0.030000000000000002,0.04,0.02,0.35,0.27,0.13798114277294551,-0.5057196404890926,0.7047140179755454,FALSE,d_star_negative|omega_outside_target_band
162,2.25,0.08,0.030000000000000002,0.04,0.02,0.45,0.27,0.11095013556573455,0.2545274372137161,0.7427263718606858,FALSE,omega_outside_target_band
163,2.25,0.08,0.030000000000000002,0.05,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
164,2.25,0.08,0.030000000000000002,0.05,0.02,0.35,0.2925,0.1518617888766665,-0.614862812156245,0.6767568593921878,FALSE,d_star_negative
165,2.25,0.08,0.030000000000000002,0.05,0.02,0.45,0.2925,0.1182737718612537,0.3298001664022394,0.7239900083201121,FALSE,omega_outside_target_band
166,2.25,0.08,0.030000000000000002,0.06,0.02,0.25,0.31500000000000006,NA,NA,NA,FALSE,kappa_star_out_of_bounds
167,2.25,0.08,0.030000000000000002,0.06,0.02,0.35,0.31500000000000006,0.17105424316168027,-0.8734005889222574,0.6413299705538872,FALSE,d_star_negative
168,2.25,0.08,0.030000000000000002,0.06,0.02,0.45,0.31500000000000006,0.12605668593004637,0.3921557082174468,0.7046077854108723,FALSE,omega_outside_target_band
169,2.25,0.08,0.035,0.03,0.02,0.25,0.2475,0.2503619835505615,-3.9476807873595425,0.5748543645688207,FALSE,d_star_negative|omega_outside_target_band
170,2.25,0.08,0.035,0.03,0.02,0.35,0.2475,0.12657624799375142,-0.4662069748242584,0.7315206861329084,FALSE,d_star_negative|omega_outside_target_band
171,2.25,0.08,0.035,0.03,0.02,0.45,0.2475,0.10388034506148039,0.1721152951458641,0.760245188281564,FALSE,omega_outside_target_band
172,2.25,0.08,0.035,0.04,0.02,0.25,0.27,NA,NA,NA,FALSE,kappa_star_out_of_bounds
173,2.25,0.08,0.035,0.04,0.02,0.35,0.27,0.13798114277294551,-0.5057196404890926,0.7072426161779909,FALSE,d_star_negative|omega_outside_target_band
174,2.25,0.08,0.035,0.04,0.02,0.45,0.27,0.11095013556573455,0.2545274372137161,0.7414537346746173,FALSE,omega_outside_target_band
175,2.25,0.08,0.035,0.05,0.02,0.25,0.2925,NA,NA,NA,FALSE,kappa_star_out_of_bounds
