phi1,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.03158273381294964,62.374100719424455,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,63.41726618705036,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,64.46043165467626,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,65.50359712230215,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,66.54676258992805,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,67.58992805755395,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,68.63309352517985,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,69.67625899280576,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,70.71942446043165,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,71.76258992805755,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,72.80575539568345,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,73.84892086330935,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,74.89208633093524,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,75.93525179856115,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,76.97841726618705,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,78.02158273381295,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,79.06474820143885,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,80.10791366906474,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,81.15107913669064,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,82.19424460431654,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,83.23741007194245,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,84.28057553956835,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,85.32374100719424,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,86.36690647482014,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,87.41007194244604,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,88.45323741007194,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,89.49640287769783,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,90.53956834532374,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,91.58273381294964,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,92.62589928057554,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,93.66906474820144,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,94.71223021582733,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,95.75539568345323,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,96.79856115107913,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,97.84172661870504,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,98.88489208633094,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,99.92805755395683,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,100.97122302158273,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,102.01438848920863,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,103.05755395683452,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,104.10071942446042,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,105.14388489208633,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,106.18705035971223,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,107.23021582733813,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,108.27338129496403,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,109.31654676258992,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,110.35971223021582,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,111.40287769784172,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,112.44604316546761,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,113.48920863309353,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,114.53237410071942,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,115.57553956834532,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,116.61870503597122,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,117.66187050359711,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,118.70503597122301,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,119.74820143884891,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,120.79136690647482,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,121.83453237410072,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,122.87769784172662,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,123.92086330935251,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,124.96402877697841,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,126.0071942446043,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,127.0503597122302,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,128.0935251798561,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,129.136690647482,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,130.1798561151079,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,131.2230215827338,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,132.2661870503597,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
0.03158273381294964,133.30935251798562,FALSE,"e* not in (0,1)",NA,NA,NA,NA,FALSE,FALSE
