"time","e","omega","d","r","kappa","g","g_n","theta","lambda_tilt","denom","f","Ztilde","y_pc","y_pc_0","y_pc_norm"
136.15,1.07032118893324,0.843930409407854,1.02020724877537,0.0384204335470437,0.1476308473542,0.0292102824514,0.03,0.5063177403888,0.585002879221163,-0.00496930279680727,2.23291569015158,0.999996387942493,15.2259315762756,0.904422758117071,16.8349717426115
136.2,1.07028168164101,0.843930412445753,1.02033569134429,0.0384187199668252,0.147628277625776,0.0292094258752588,0.03,0.50632459299793,0.585009423981808,-0.00496844622066608,2.2331950306865,0.999996402641809,15.241165123356,0.904422758117071,16.8518151346465
136.25,1.07024213152259,0.843930415471271,1.02046411857763,0.0384170065952078,0.147625708211569,0.0292085694038562,0.03,0.50633144476915,0.585015967898072,-0.00496758974926352,2.23347443300273,0.99999641728297,15.2564139116027,0.904422758117071,16.8686753784981
136.3,1.07020253858322,0.843930418484458,1.02059253048788,0.0384152934320091,0.147623139111304,0.0292077130371014,0.03,0.506338295703189,0.585022510970667,-0.00496673338250866,2.23375389714443,0.999996431866202,15.2716779562647,0.904422758117071,16.8855524910264
136.35,1.07016290282813,0.843930421485361,1.02072092708749,0.0384135804770464,0.14762057032471,0.0292068567749033,0.03,0.506345145800774,0.585029053200304,-0.00496587712031056,2.23403342315583,0.999996446391728,15.2869572726058,0.904422758117071,16.9024464891086
136.4,1.07012322426253,0.843930424474031,1.02084930838893,0.0384118677301374,0.147618001851513,0.0292060006171711,0.03,0.506351995062631,0.585035594587693,-0.0049650209625784,2.23431301108114,0.999996460859772,15.3022518759055,0.904422758117071,16.9193573896388
136.45,1.07008350289166,0.843930427450514,1.02097767440467,0.0384101551910997,0.147615433691442,0.0292051445638141,0.03,0.506358843489487,0.585042135133546,-0.00496416490922138,2.23459266096461,0.999996475270557,15.3175617814584,0.904422758117071,16.9362852095277
136.5,1.07004373872073,0.84393043041486,1.02110602514715,0.0384084428597513,0.147612865844224,0.0292042886147414,0.03,0.506365691082068,0.58504867483857,-0.00496330896014874,2.23487237285053,0.999996489624304,15.3328870045743,0.904422758117071,16.9532299657033
136.55,1.07000393175495,0.843930433367116,1.02123436062885,0.0384067307359099,0.147610298309588,0.0292034327698625,0.03,0.5063725378411,0.585055213703478,-0.00496245311526983,2.23515214678319,0.999996503921234,15.3482275605785,0.904422758117071,16.9701916751102
136.6,1.06996408199953,0.843930436307331,1.0213626808622,0.0384050188193936,0.14760773108726,0.0292025770290867,0.03,0.506379383767306,0.585061751728976,-0.00496159737449403,2.23543198280692,0.999996518161568,15.3635834648115,0.904422758117071,16.9871703547102
136.65,1.06992418945967,0.843930439235552,1.02149098585965,0.0384033071100207,0.14760516417697,0.0292017213923234,0.03,0.506386228861412,0.585068288915773,-0.00496074173773073,2.23571188096608,0.999996532345523,15.3789547326293,0.904422758117071,17.004166021482
136.7,1.06988425414058,0.843930442151826,1.02161927563365,0.0384015956076093,0.147602597578446,0.0292008658594822,0.03,0.506393073124143,0.585074825264579,-0.00495988620488946,2.23599184130504,0.99999654647332,15.3943413794031,0.904422758117071,17.0211786924212
136.75,1.06984427604743,0.843930445056201,1.02174755019664,0.0383998843119779,0.147600031291417,0.0292000104304725,0.03,0.50639991655622,0.585081360776099,-0.00495903077587976,2.2362718638682,0.999996560545175,15.4097434205196,0.904422758117071,17.0382083845406
136.8,1.06980425518543,0.843930447948723,1.02187580956104,0.038398173222945,0.147597465315612,0.0291991551052039,0.03,0.506406759158369,0.585087895451041,-0.00495817545061122,2.23655194869998,0.999996574561304,15.4251608713807,0.904422758117071,17.0552551148697
136.85,1.06976419155976,0.843930450829441,1.02200405373929,0.0383964623403291,0.147594899650759,0.0291982998835862,0.03,0.50641360093131,0.585094429290112,-0.0049573202289935,2.23683209584483,0.999996588521924,15.4405937474041,0.904422758117071,17.0723189004554
136.9,1.0697240851756,0.8439304536984,1.02213228274383,0.038394751663949,0.147592334296587,0.029197444765529,0.03,0.506420441875768,0.585100962294018,-0.0049564651109363,2.23711230534724,0.999996602427251,15.4560420640224,0.904422758117071,17.0893997583614
136.95,1.06968393603812,0.843930456555647,1.02226049658706,0.0383930411936234,0.147589769252826,0.0291965897509421,0.03,0.506427281992463,0.585107494463465,-0.00495561009634938,2.2373925772517,0.999996616277497,15.4715058366841,0.904422758117071,17.1064977056686
