"time","e","omega","d","u","r","kappa","gK","gY","Delta","u_d","gU","rho","chiA","chiN","xi"
298.9,0.859723354165576,0.887022368595672,0.953136635229092,0.893735597015137,0.0249507219983882,0.10411241798216,0.0147041393273868,0.0147041393273868,0.647070397995221,0.887075041260408,-0.0149049803475955,3.35669745058749,4.30983408581658,-0.953136635229092,4.52173794031187
298.95,0.859064089515909,0.88728582680607,0.953901199028736,0.893073003761533,0.0248527084109269,0.103832745476986,0.0146109151589952,0.0146109151589952,0.647503491152365,0.886481706806629,-0.0147609365127863,3.35918786858891,4.31308906761765,-0.953901199028736,4.52152599452568
299,0.858401349879083,0.887546429893454,0.954670349886638,0.892417340014931,0.0247555853703601,0.103555963368094,0.0145186544560315,0.0145186544560315,0.647932043808131,0.885895373574047,-0.0146164045642028,3.36165588170867,4.31632623159531,-0.954670349886638,4.52127400008584
299.05,0.857735185473446,0.887804159982243,0.955444056232116,0.89176861270145,0.0246593592561575,0.103282081858669,0.0144273606195563,0.0144273606195563,0.648356035275812,0.885316043608384,-0.014471397627506,3.36410135686661,4.31954541309872,-0.955444056232116,4.52098203439902
299.1,0.857065646572509,0.888058999430073,0.956222285859239,0.891126828265413,0.0245640363785192,0.103011110853348,0.0143370369511162,0.0143370369511162,0.648775445302686,0.884743718579239,-0.0143259286640468,3.36652416338932,4.32274644924856,-0.956222285859239,4.52065018058457
299.15,0.856392783498854,0.88831093082879,0.957005005925366,0.890491992678988,0.0244696229780651,0.102743059962611,0.0142476866542038,0.0142476866542038,0.649190254066231,0.884178399790702,-0.0141800104665552,3.36892417300092,4.32592917892628,-0.957005005925366,4.52027852742878
299.2,0.855716646618096,0.888559937005414,0.957792182949893,0.889864111452121,0.0243761252255299,0.102477938507191,0.0141593128357302,0.0141593128357302,0.649600442170305,0.883620088191866,-0.0140336556557301,3.37130125981197,4.32909344276187,-0.957792182949893,4.51986716933599
299.25,0.855037286332167,0.888806001023209,0.958583782812941,0.88924318964371,0.0242835492214245,0.102215755522413,0.0140719185074709,0.0140719185074709,0.65000599064145,0.883068784386981,-0.0138868766803905,3.37365530030317,4.33223908311611,-0.958583782812941,4.51941620627386
299.3,0.85435475307271,0.889049106182707,0.959379770754248,0.888629231872688,0.0241919009957076,0.10195651976258,0.0139855065875266,0.0139855065875266,0.650406880925136,0.882524488645546,-0.0137396858176194,3.37598617330856,4.33536594406281,-0.959379770754248,4.51892574371713
299.35,0.853669097294841,0.889289236022663,0.960180111372367,0.888022242328538,0.0241011865074808,0.101700239705428,0.0139000799018093,0.0139000799018093,0.650803094881881,0.881987200912404,-0.013592095171646,3.37829376000033,4.3384738713727,-0.960180111372367,4.51839589259124
299.4,0.85298036947114,0.889526374320936,0.960984768624112,0.887422224781595,0.0240114116446998,0.101446923556639,0.0138156411855463,0.0138156411855463,0.651194614783284,0.881456920817789,-0.0134441166723621,3.38057794387371,4.34156271249782,-0.960984768624112,4.51782676921493
299.45,0.852288620085713,0.889760505095354,0.961793705824212,0.886829182593368,0.0239225822238925,0.101196579254378,0.0137321930847925,0.0137321930847925,0.651581423308008,0.88093364768729,-0.0132957620741277,3.38283861073116,4.34463231655537,-0.961793705824212,4.51721849524086
299.5,0.851593899628293,0.889991612604545,0.962606885645161,0.886243118726912,0.023834703989883,0.100949214473842,0.0136497381579472,0.0136497381579472,0.651963503537748,0.88041738055168,-0.0131470429549856,3.38507564866568,4.34768253431084,-0.962606885645161,4.51657119759426
299.55,0.850896258588778,0.890219681348694,0.963424270117254,0.885664035756593,0.0237477826155386,0.10070483663188,0.0135682788772934,0.0135682788772934,0.652340838953071,0.879908118156761,-0.0129979707145151,3.38728894804586,4.35071321816311,-0.963424270117254,4.51588500841234
299.6,0.850195747451312,0.890444696070346,0.964245820628855,0.885091935878806,0.0236618237014999,0.100463452891556,0.0134878176305185,0.0134878176305185,0.652713413429355,0.879405858972938,-0.0128485565744586,3.38947840149657,4.35372422212543,-0.964245820628855,4.51516006497808
299.65,0.84949241668782,0.890666641755258,0.965071497926883,0.884526820923894,0.0235768327758887,0.100225070166636,0.013408356722212,0.013408356722212,0.653081211232807,0.878910601204517,-0.0126988115826984,3.39164390387448,4.35671540180136,-0.965071497926883,4.51439650964746
299.7,0.848786316752884,0.890885503633041,0.965901262117523,0.883968692365313,0.023492815294086,0.0999896951262741,0.0133298983754247,0.0133298983754247,0.65344421701619,0.878422342799275,-0.0125487466104624,3.39378535225341,4.35968661437093,-0.965901262117523,4.51359448978594
299.75,0.848077498079224,0.8911012671777,0.966735072667128,0.883417551328073,0.0234097766385383,0.0997573341997511,0.0132524447332504,0.0132524447332504,0.653802415814418,0.877941081458056,-0.0123983723478991,3.39590264591188,4.36263771857901,-0.966735072667128,4.51275415770622
299.8,0.847366011072504,0.891313918108263,0.967572888403326,0.882873398598875,0.0233277221185347,0.0995279935811219,0.013175997860374,0.013175997860374,0.654155793040297,0.877466814644016,-0.0122476993042002,3.3979956863136,4.36556857471692,-0.967572888403326,4.51187567059771
299.85,0.846651906105629,0.891523442389452,0.968414667516353,0.882336234637177,0.0232466569699646,0.0993016792337847,0.0131005597445949,0.0131005597445949,0.654504334480373,0.87699953959161,-0.0120967378105292,3.40006437708366,4.36847904460002,-0.968414667516353,4.51095919045056
299.9,0.845935233513299,0.8917298262323,0.969260367560626,0.881806059585696,0.0231665863550916,0.099078396895076,0.0130261322983587,0.0130261322983587,0.654848026290717,0.876539253315509,-0.0119454980217813,3.40210862398644,4.37136899154707,-0.969260367560626,4.51000488398041
299.95,0.845216043587477,0.891933056094625,0.970109945456408,0.881282873279205,0.023087515362373,0.0988581520809671,0.0129527173603224,0.0129527173603224,0.655186854992533,0.876085952619641,-0.011793989914332,3.40412833490927,4.37423828036568,-0.970109945456408,4.50901292255872
300,0.844494386572924,0.892133118681483,0.970963357491703,0.880766675253535,0.0230094490062831,0.0986409500907446,0.0128803166969149,0.0128803166969149,0.655520807467759,0.875639634106094,-0.0116422232845369,3.40612341984491,4.37708677733661,-0.970963357491703,4.50798348214084
300.05,0.84377031266225,0.892330000945659,0.971820559324465,0.880257464755676,0.0229323922271209,0.0984267960116137,0.0128089320038712,0.0128089320038712,0.655849870954776,0.875200294183759,-0.0114902077503437,3.40809379086911,4.37991435019357,-0.971820559324465,4.50691674318781
300.1,0.843043871991069,0.89252369008813,0.972681505985002,0.879755240753736,0.0228563498908233,0.0982156947232893,0.0127385649077631,0.0127385649077631,0.656174033044107,0.874767929076852,-0.0113379527528824,3.41003936211819,4.38272086810319,-0.972681505985002,4.5058128905874
300.15,0.842315114633468,0.892714173558469,0.973546151878542,0.879260001946347,0.0227813267887966,0.098007650902599,0.012669216967533,0.012669216967533,0.656493281674074,0.874342534833389,-0.0111854675569746,3.41196004976815,4.38550620164669,-0.973546151878542,4.5046721135762
