r0,lambda,ok,reason,a1,a2,a3,H,feasible_RH,hopf_band
0.01,43.59712230215827,TRUE,NA,-0.02453237410071943,0.023542446043165466,7.062733812949635e-4,-0.0012838254748719006,FALSE,FALSE
0.01,44.64028776978417,TRUE,NA,-0.024880095923261396,0.02410575539568345,7.231726618705037e-4,-0.001322926168417784,FALSE,FALSE
0.01,45.68345323741007,TRUE,NA,-0.025227817745803363,0.024669064748201436,7.400719424460428e-4,-0.001362418611873091,FALSE,FALSE
0.01,46.72661870503597,TRUE,NA,-0.025575539568345323,0.02523237410071942,7.56971223021583e-4,-0.0014023028052378244,FALSE,FALSE
0.01,47.76978417266187,TRUE,NA,-0.02592326139088729,0.02579568345323741,7.738705035971223e-4,-0.001442578748511982,FALSE,FALSE
0.01,48.81294964028777,TRUE,NA,-0.026270983213429265,0.026358992805755394,7.907697841726616e-4,-0.0014832464416955644,FALSE,FALSE
0.01,49.856115107913666,TRUE,NA,-0.02661870503597122,0.02692230215827338,8.07669064748201e-4,-0.0015243058847885715,FALSE,FALSE
0.01,50.899280575539564,TRUE,NA,-0.026966426858513193,0.027485611510791357,8.245683453237407e-4,-0.0015657570777910042,FALSE,FALSE
0.01,51.94244604316547,TRUE,NA,-0.02731414868105516,0.02804892086330935,8.414676258992806e-4,-0.0016076000207028622,FALSE,FALSE
0.01,52.985611510791365,TRUE,NA,-0.027661870503597134,0.028612230215827334,8.583669064748196e-4,-0.0016498347135241445,FALSE,FALSE
0.01,54.02877697841726,TRUE,NA,-0.028009592326139095,0.029175539568345323,8.752661870503604e-4,-0.001692461156254853,FALSE,FALSE
0.01,55.07194244604317,TRUE,NA,-0.028357314148681055,0.029738848920863308,8.921654676258989e-4,-0.0017354793488949844,FALSE,FALSE
0.01,56.115107913669064,TRUE,NA,-0.02870503597122303,0.03030215827338129,9.090647482014393e-4,-0.0017788892914445426,FALSE,FALSE
0.01,57.15827338129496,TRUE,NA,-0.02905275779376499,0.03086546762589927,9.259640287769781e-4,-0.0018226909839035243,FALSE,FALSE
0.01,58.20143884892086,TRUE,NA,-0.029400479616306957,0.031428776978417255,9.428633093525179e-4,-0.001866884426271932,FALSE,FALSE
0.01,59.24460431654676,TRUE,NA,-0.02974820143884893,0.03199208633093525,9.597625899280571e-4,-0.0019114696185497642,FALSE,FALSE
0.01,60.28776978417266,TRUE,NA,-0.03009592326139089,0.03255539568345323,9.766618705035963e-4,-0.0019564465607370208,FALSE,FALSE
0.01,61.33093525179856,TRUE,NA,-0.030443645083932866,0.03311870503597122,9.935611510791353e-4,-0.0020018152528337033,FALSE,FALSE
0.01,62.374100719424455,TRUE,NA,-0.03079136690647482,0.0336820143884892,0.0010104604316546761,-0.002047575694839811,FALSE,FALSE
0.01,63.41726618705036,TRUE,NA,-0.031139088729016794,0.03424532374100719,0.0010273597122302156,-0.0020937278867553437,FALSE,FALSE
0.01,64.46043165467626,TRUE,NA,-0.031486810551558754,0.03480863309352517,0.0010442589928057547,-0.0021402718285803003,FALSE,FALSE
0.01,65.50359712230215,TRUE,NA,-0.03183453237410073,0.03537194244604316,0.0010611582733812937,-0.002187207520314682,FALSE,FALSE
0.01,66.54676258992805,TRUE,NA,-0.03218225419664269,0.03593525179856114,0.0010780575539568345,-0.0022345349619584906,FALSE,FALSE
