sigma,psi,rF,rF_tilde,rF_eff,phi2,phi1,feasible,reason,r_star,d_star,omega_star,e_star,f_star,Z_star,maxReEig,maxImEig,a1,a2,a3,H
2,0,0.048,-0,0.048,0.75,0.8191282915972674,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.7184638113975859,0.999974125468575,0.01731546556192798,0.736992605225346,-0.004702749083099284,0.5424214846935531,0.01626470772598964,-0.0188155798657856
2,0,0.048,-0,0.048,0.8,0.8723184046541066,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.7184638113975859,0.999974125468575,0.017143965290846996,0.76051067701678,-0.004355767632283298,0.5776440934770449,0.01732085686850661,-0.019836940313853548
2,0,0.048,-0,0.048,0.8500000000000001,0.9255085177109457,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.7184638113975859,0.999974125468575,0.016972237449315475,0.783322919778768,-0.004008786181467312,0.6128667022605367,0.018377006011023562,-0.020833857578127044
2,0,0.048,-0,0.048,0.9,0.9786986307677847,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.7184638113975859,0.999974125468575,0.01680031895476508,0.8054893073282373,-0.003661804730651327,0.6480893110440284,0.019433155153540518,-0.0218063316586061
2,0,0.051000000000000004,-0,0.051000000000000004,0.5,0.5531868872698033,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.937562536903872,0.99999134806723,0.01926048216464995,0.6057901955038831,-0.008620154826943505,0.3662009191255902,0.010984143914439484,-0.014140852535071089
2,0,0.051000000000000004,-0,0.051000000000000004,0.55,0.6063779164223155,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.937562536903872,0.99999134806723,0.01920034199268325,0.6341866118754687,-0.008491423225103949,0.40141277574403167,0.012040311247059905,-0.015448877013866219
2,0,0.051000000000000004,-0,0.051000000000000004,0.6,0.6595689455748277,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.94,1.937562536903872,0.99999134806723,0.019139525332336316,0.6613648620511783,-0.008362691623264392,0.436624632362473,0.01309647857968031,-0.016747835735248857
2,0,0.051000000000000004,-0,0.051000000000000004,0.65,0.71275997472734,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9399999999999998,1.937562536903872,0.99999134806723,0.01907818259656885,0.6874694481567273,-0.008233960021424836,0.4718364889809143,0.014152645912300733,-0.018037728699219043
2,0,0.051000000000000004,-0,0.051000000000000004,0.7,0.765951003879852,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.937562536903872,0.99999134806723,0.019016422683415787,0.7126183787240082,-0.008105228419585279,0.5070483455993556,0.015208813244921153,-0.019318555905776746
2,0,0.051000000000000004,-0,0.051000000000000004,0.75,0.8191420330323644,TRUE,OK,0.04409028054839424,2.3939812967737173,0.84,0.9400000000000001,1.937562536903872,0.99999134806723,0.018954326374608962,0.7369095083079898,-0.007976496817745723,0.542260202217797,0.01626498057754157,-0.020590317354921978
